grupo_edad;sexo;pob.estandar;
0 a 4 años;1;1838771;
05 a 9 años;1;1794531;
10 a 14 años;1;1801750;
15 a 19 años;1;1797164;
20 a 24 años;1;1674870;
25 a 29 años;1;1575889;
30 a 34 años;1;1540513;
35 a 39 años;1;1334655;
40 a 44 años;1;1149610;
45 a 49 años;1;1076990;
50 a 54 años;1;997584;
55 a 59 años;1;898643;
60 a 64 años;1;765679;
65 a 69 años;1;594668;
70 a 74 años;1;444901;
75 a 79 años;1;324635;
80 años y más;1;329851;
0 a 4 años;2;1732769;
05 a 9 años;2;1712604;
10 a 14 años;2;1740204;
15 a 19 años;2;1762649;
20 a 24 años;2;1671613;
25 a 29 años;2;1590985;
30 a 34 años;2;1571862;
35 a 39 años;2;1376489;
40 a 44 años;2;1198199;
45 a 49 años;2;1135147;
50 a 54 años;2;1064838;
55 a 59 años;2;978428;
60 a 64 años;2;862890;
65 a 69 años;2;709898;
70 a 74 años;2;584129;
75 a 79 años;2;483396;
80 años y más;2;671649;
;;;
;;;
;;;
;;;
