CodProv,Ano,Sexo,Total,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-
02,2010,1,1405566,22150,87493,102701,95994,99784,111726,116490,117011,105455,85885,78726,76659,70233,63364,53532,42547,32679,24999,13286,3976,876
02,2010,2,1622915,20850,82621,98354,94500,101258,116572,122615,123148,112931,95002,90855,92557,88716,84016,75282,65286,56642,51842,32565,13091,4212
02,2011,1,1409835,21372,87698,104496,95303,98932,109330,116655,117178,107828,88295,78758,76539,70650,63724,54207,43036,32410,24397,13639,4526,862
02,2011,2,1623804,20089,82718,99774,93350,99963,113937,122744,123221,115007,97287,90367,92005,89018,84385,76203,65923,56019,50359,33170,14002,4263
02,2012,1,1414105,20771,87824,106030,95051,97944,106648,117073,116887,109799,91337,78941,76221,71187,63973,54889,43614,32387,23693,13932,4961,943
02,2012,2,1624755,19505,82781,100988,92628,98531,110889,123148,122912,116659,100213,90102,91164,89419,84585,77118,66671,55923,48546,33735,14777,4461
02,2013,1,1418339,20655,87620,106597,95851,96818,104110,117246,116349,111330,94699,79438,75821,71739,64174,55541,44250,32565,23024,14118,5308,1086
02,2013,2,1625737,19395,82572,101316,92922,96960,107904,123291,122399,117873,103449,90235,90183,89792,84693,77973,67500,56207,46750,34112,15440,4771
02,2014,1,1422507,20925,87180,106372,97400,95665,102269,116485,115857,112414,97952,80461,75500,72153,64412,56133,44911,32881,22527,14153,5594,1263
02,2014,2,1626722,19694,82153,100857,94002,95355,105602,122445,121920,118694,106534,90979,89266,89956,84813,78710,68380,56699,45341,34142,16025,5155
02,2015,1,1426582,21394,86629,105680,99209,94542,101659,114348,115593,113058,100781,82119,75390,72336,64734,56648,45576,33294,22257,14040,5843,1452
02,2015,2,1627685,20212,81648,99937,95386,93774,104551,120145,121628,119149,109121,92461,88576,89797,85013,79293,69286,57281,44509,33775,16564,5579
02,2016,1,1430531,21715,85947,105089,100984,93832,100772,111917,115724,113211,103127,84506,75444,72268,65192,57050,46250,33785,22205,13803,6069,1641
02,2016,2,1628591,20522,80990,99256,96783,92599,103211,117460,121721,119198,111175,94727,88106,89280,85347,79694,70201,57941,44230,33033,17098,6019
02,2017,1,1434323,21904,85257,104598,102495,93562,99750,109196,116112,112904,105082,87512,75645,72005,65761,57354,46928,34344,22312,13510,6268,1824
02,2017,2,1629405,20700,80333,98716,97972,91854,101733,114365,122088,118864,112809,97628,87851,88481,85774,79929,71114,58700,44341,32073,17614,6466
02,2018,1,1437936,21829,84714,104260,103042,94342,98589,106619,116251,112354,106598,90836,76151,71665,66342,57610,47577,34952,22550,13238,6419,1998
02,2018,2,1624323,20618,79826,98377,98279,92118,100120,111328,122194,118330,114001,100838,87990,87545,86172,80077,71969,59528,44736,31125,18024,1128
02,2019,1,1441350,21532,84292,104073,102793,95868,97401,104740,115461,111850,107667,94051,77175,71396,66791,57902,48174,35577,22884,13062,6497,2164
02,2019,2,1630679,20303,79458,98235,97797,93172,98468,108977,121309,117829,114806,103896,88733,86668,86367,80234,72710,60399,45294,30433,18231,7360
02,2020,1,1444545,21102,83913,103973,102081,97651,96245,104083,113301,111570,108302,96849,78818,71332,67020,58266,48705,36206,23286,13012,6506,2324
02,2020,2,1631101,19842,79150,98227,96854,94528,96843,107870,118974,117515,115246,106457,90209,86011,86245,80469,73307,61295,45919,30119,18211,7810
02,2021,1,1447495,20736,83390,103592,101471,99403,95498,103150,110846,111684,108450,99170,81174,71425,67011,58758,49130,36842,23744,13088,6453,2480
02,2021,2,1631341,19488,78662,97858,96149,95896,95623,106478,116252,117581,115282,108493,92453,85570,85773,80830,73736,62195,46610,30160,17980,8272
02,2022,1,1450179,20408,82764,103075,100958,100887,95190,102083,108103,112052,108142,101106,84138,71654,66816,59348,49474,37483,24245,13248,6379,2626
02,2022,2,1631371,19177,78069,97358,95585,97059,94828,104947,113124,117920,114935,110110,95327,85341,85023,81281,74004,63094,47375,30449,17632,8733
02,2023,1,1452588,20151,82019,102437,100599,101410,95929,100876,105502,112174,107590,102610,87410,72178,66550,59944,49775,38099,24782,13486,6313,2754
02,2023,2,1631182,18939,77356,96747,95222,97339,95043,103278,110053,118000,114388,111291,98505,85492,84145,81699,74193,63937,48194,30917,17292,9152
02,2024,1,1454716,19957,81173,101700,100390,101138,97411,99642,103598,111366,107087,103674,90575,73205,66347,60420,50105,38669,25334,13778,6295,2852
02,2024,2,1630767,18770,76540,96044,95056,96827,96051,101570,107663,117090,113875,112085,101532,86239,83321,81919,74391,64680,49045,31492,17092,9485
02,2025,1,1456560,19809,80261,100874,100269,100405,99148,98441,102907,109198,106803,104307,93332,74832,66338,60688,50500,39188,25886,14114,6334,2926
02,2025,2,1630120,18655,75654,95251,95025,95857,97354,99893,106517,114733,113546,112517,104068,87707,82705,81838,74659,65288,49917,32114,17100,9722
02,2026,1,1458111,19639,79372,99965,99866,99776,100852,97647,101942,106734,106911,104458,95624,77149,66474,60737,51008,39616,26446,14482,6434,2979
02,2026,2,1629227,18496,74809,94389,94630,95127,98670,98617,105086,111990,113596,112547,106083,89929,82304,81413,75046,65744,50791,32784,17299,9877
02,2027,1,1459359,19467,78495,98991,99328,99242,102293,97288,100844,103983,107270,104159,97540,80049,66738,60612,51599,39980,27009,14877,6571,3024
02,2027,2,1628075,18336,73975,93462,94109,94534,99785,97763,103514,108842,113917,112196,107687,92770,82105,80724,75512,66057,51663,33503,17629,9992
06,2010,1,7678592,144497,562593,669180,645513,655045,643442,604625,598679,528202,459666,427517,394748,354844,308412,238875,178795,132750,81527,37373,10257,2052
06,2010,2,8038350,134978,529237,636615,621856,640439,637039,604955,607257,541631,477017,450322,421117,390329,349449,286506,236637,199627,150312,84185,30463,8379
