FECDEF_ano;provincia;sexo;gr_edad;pob;trienio
2012;0;0;POBTOT;41281631;T6
2012;2;0;POBTOT;3072426;T6
2012;6;0;POBTOT;15571686;T6
2012;10;0;POBTOT;420314;T6
2012;14;0;POBTOT;3451910;T6
2012;18;0;POBTOT;1058161;T6
2012;22;0;POBTOT;1090451;T6
2012;26;0;POBTOT;480592;T6
2012;30;0;POBTOT;1307740;T6
2012;34;0;POBTOT;572060;T6
2012;38;0;POBTOT;716978;T6
2012;42;0;POBTOT;349240;T6
2012;46;0;POBTOT;369727;T6
2012;50;0;POBTOT;1800895;T6
2012;54;0;POBTOT;1145600;T6
2012;58;0;POBTOT;582560;T6
2012;62;0;POBTOT;609553;T6
2012;66;0;POBTOT;1311499;T6
2012;70;0;POBTOT;734301;T6
2012;74;0;POBTOT;476191;T6
2012;78;0;POBTOT;242275;T6
2012;82;0;POBTOT;3326511;T6
2012;86;0;POBTOT;902063;T6
2012;90;0;POBTOT;1547595;T6
2012;94;0;POBTOT;141303;T6
2012;0;1;POBTOT;20222859;T6
2012;2;1;POBTOT;1424723;T6
2012;6;1;POBTOT;7598411;T6
2012;10;1;POBTOT;211018;T6
2012;14;1;POBTOT;1684502;T6
2012;18;1;POBTOT;524409;T6
2012;22;1;POBTOT;544023;T6
2012;26;1;POBTOT;240029;T6
2012;30;1;POBTOT;643825;T6
2012;34;1;POBTOT;287748;T6
2012;38;1;POBTOT;355909;T6
2012;42;1;POBTOT;174158;T6
2012;46;1;POBTOT;185879;T6
2012;50;1;POBTOT;882419;T6
2012;54;1;POBTOT;577477;T6
2012;58;1;POBTOT;289333;T6
2012;62;1;POBTOT;304623;T6
2012;66;1;POBTOT;652653;T6
2012;70;1;POBTOT;363128;T6
2012;74;1;POBTOT;238729;T6
2012;78;1;POBTOT;122255;T6
2012;82;1;POBTOT;1622882;T6
2012;86;1;POBTOT;456058;T6
2012;90;1;POBTOT;767148;T6
2012;94;1;POBTOT;71520;T6
2012;0;2;POBTOT;21058772;T6
2012;2;2;POBTOT;1647703;T6
2012;6;2;POBTOT;7973275;T6
2012;10;2;POBTOT;209296;T6
2012;14;2;POBTOT;1767408;T6
2012;18;2;POBTOT;533752;T6
2012;22;2;POBTOT;546428;T6
2012;26;2;POBTOT;240563;T6
2012;30;2;POBTOT;663915;T6
2012;34;2;POBTOT;284312;T6
2012;38;2;POBTOT;361069;T6
2012;42;2;POBTOT;175082;T6
2012;46;2;POBTOT;183848;T6
2012;50;2;POBTOT;918476;T6
2012;54;2;POBTOT;568123;T6
2012;58;2;POBTOT;293227;T6
2012;62;2;POBTOT;304930;T6
2012;66;2;POBTOT;658846;T6
2012;70;2;POBTOT;371173;T6
2012;74;2;POBTOT;237462;T6
2012;78;2;POBTOT;120020;T6
2012;82;2;POBTOT;1703629;T6
2012;86;2;POBTOT;446005;T6
2012;90;2;POBTOT;780447;T6
2012;94;2;POBTOT;69783;T6
2013;0;0;POBTOT;42202935;T6
2013;2;0;POBTOT;3044076;T6
2013;6;0;POBTOT;16289599;T6
2013;10;0;POBTOT;389256;T6
2013;14;0;POBTOT;3489669;T6
2013;18;0;POBTOT;1049325;T6
2013;22;0;POBTOT;1117953;T6
2013;26;0;POBTOT;545656;T6
2013;30;0;POBTOT;1295121;T6
2013;34;0;POBTOT;568331;T6
2013;38;0;POBTOT;710121;T6
2013;42;0;POBTOT;336706;T6
2013;46;0;POBTOT;357516;T6
2013;50;0;POBTOT;1841813;T6
2013;54;0;POBTOT;1159445;T6
2013;58;0;POBTOT;601003;T6
2013;62;0;POBTOT;678797;T6
2013;66;0;POBTOT;1295944;T6
2013;70;0;POBTOT;721830;T6
2013;74;0;POBTOT;463411;T6
2013;78;0;POBTOT;302420;T6
2013;82;0;POBTOT;3341228;T6
2013;86;0;POBTOT;908268;T6
2013;90;0;POBTOT;1551460;T6
2013;94;0;POBTOT;143987;T6
2013;0;1;POBTOT;20659037;T6
2013;2;1;POBTOT;1418339;T6
2013;6;1;POBTOT;7969864;T6
2013;10;1;POBTOT;194590;T6
2013;14;1;POBTOT;1701613;T6
2013;18;1;POBTOT;517240;T6
2013;22;1;POBTOT;552570;T6
2013;26;1;POBTOT;272901;T6
2013;30;1;POBTOT;634985;T6
2013;34;1;POBTOT;283244;T6
2013;38;1;POBTOT;350301;T6
2013;42;1;POBTOT;167187;T6
2013;46;1;POBTOT;178039;T6
2013;50;1;POBTOT;903547;T6
2013;54;1;POBTOT;579436;T6
2013;58;1;POBTOT;299165;T6
2013;62;1;POBTOT;338129;T6
2013;66;1;POBTOT;641191;T6
2013;70;1;POBTOT;356460;T6
2013;74;1;POBTOT;229686;T6
2013;78;1;POBTOT;155459;T6
2013;82;1;POBTOT;1624091;T6
2013;86;1;POBTOT;452534;T6
2013;90;1;POBTOT;764968;T6
2013;94;1;POBTOT;73498;T6
2013;0;2;POBTOT;21543898;T6
2013;2;2;POBTOT;1625737;T6
2013;6;2;POBTOT;8319735;T6
2013;10;2;POBTOT;194666;T6
2013;14;2;POBTOT;1788056;T6
2013;18;2;POBTOT;532085;T6
2013;22;2;POBTOT;565383;T6
2013;26;2;POBTOT;272755;T6
2013;30;2;POBTOT;660136;T6
2013;34;2;POBTOT;285087;T6
2013;38;2;POBTOT;359820;T6
2013;42;2;POBTOT;169519;T6
2013;46;2;POBTOT;179477;T6
2013;50;2;POBTOT;938266;T6
2013;54;2;POBTOT;580009;T6
2013;58;2;POBTOT;301838;T6
2013;62;2;POBTOT;340668;T6
2013;66;2;POBTOT;654753;T6
2013;70;2;POBTOT;365370;T6
2013;74;2;POBTOT;233725;T6
2013;78;2;POBTOT;146961;T6
2013;82;2;POBTOT;1717137;T6
2013;86;2;POBTOT;455734;T6
2013;90;2;POBTOT;786492;T6
2013;94;2;POBTOT;70489;T6
2014;0;0;POBTOT;42669500;T6
2014;2;0;POBTOT;3049229;T6
2014;6;0;POBTOT;16476149;T6
2014;10;0;POBTOT;393088;T6
2014;14;0;POBTOT;3528687;T6
2014;18;0;POBTOT;1059836;T6
2014;22;0;POBTOT;1130608;T6
2014;26;0;POBTOT;556319;T6
2014;30;0;POBTOT;1308290;T6
2014;34;0;POBTOT;573823;T6
2014;38;0;POBTOT;718971;T6
2014;42;0;POBTOT;339895;T6
2014;46;0;POBTOT;362605;T6
2014;50;0;POBTOT;1863809;T6
2014;54;0;POBTOT;1174542;T6
2014;58;0;POBTOT;610449;T6
2014;62;0;POBTOT;688873;T6
2014;66;0;POBTOT;1314726;T6
2014;70;0;POBTOT;730408;T6
2014;74;0;POBTOT;469889;T6
2014;78;0;POBTOT;311444;T6
2014;82;0;POBTOT;3369365;T6
2014;86;0;POBTOT;918147;T6
2014;90;0;POBTOT;1572205;T6
2014;94;0;POBTOT;148143;T6
2014;0;1;POBTOT;20896203;T6
2014;2;1;POBTOT;1422507;T6
2014;6;1;POBTOT;8064849;T6
2014;10;1;POBTOT;196547;T6
2014;14;1;POBTOT;1721478;T6
2014;18;1;POBTOT;522500;T6
2014;22;1;POBTOT;558670;T6
2014;26;1;POBTOT;278319;T6
2014;30;1;POBTOT;641619;T6
2014;34;1;POBTOT;285924;T6
2014;38;1;POBTOT;354747;T6
2014;42;1;POBTOT;168750;T6
2014;46;1;POBTOT;180563;T6
2014;50;1;POBTOT;914741;T6
2014;54;1;POBTOT;586884;T6
2014;58;1;POBTOT;303806;T6
2014;62;1;POBTOT;343212;T6
2014;66;1;POBTOT;650481;T6
2014;70;1;POBTOT;360918;T6
2014;74;1;POBTOT;232930;T6
2014;78;1;POBTOT;160081;T6
2014;82;1;POBTOT;1638315;T6
2014;86;1;POBTOT;457369;T6
2014;90;1;POBTOT;775385;T6
2014;94;1;POBTOT;75608;T6
2014;0;2;POBTOT;21773297;T6
2014;2;2;POBTOT;1626722;T6
2014;6;2;POBTOT;8411300;T6
2014;10;2;POBTOT;196541;T6
2014;14;2;POBTOT;1807209;T6
2014;18;2;POBTOT;537336;T6
2014;22;2;POBTOT;571938;T6
2014;26;2;POBTOT;278000;T6
2014;30;2;POBTOT;666671;T6
2014;34;2;POBTOT;287899;T6
2014;38;2;POBTOT;364224;T6
2014;42;2;POBTOT;171145;T6
2014;46;2;POBTOT;182042;T6
2014;50;2;POBTOT;949068;T6
2014;54;2;POBTOT;587658;T6
2014;58;2;POBTOT;306643;T6
2014;62;2;POBTOT;345661;T6
2014;66;2;POBTOT;664245;T6
2014;70;2;POBTOT;369490;T6
2014;74;2;POBTOT;236959;T6
2014;78;2;POBTOT;151363;T6
2014;82;2;POBTOT;1731050;T6
2014;86;2;POBTOT;460778;T6
2014;90;2;POBTOT;796820;T6
2014;94;2;POBTOT;72535;T6
2015;0;0;POBTOT;43131966;T7
2015;2;0;POBTOT;3054267;T7
2015;6;0;POBTOT;16659931;T7
2015;10;0;POBTOT;396895;T7
2015;14;0;POBTOT;3567654;T7
2015;18;0;POBTOT;1070283;T7
2015;22;0;POBTOT;1143201;T7
2015;26;0;POBTOT;566922;T7
2015;30;0;POBTOT;1321415;T7
2015;34;0;POBTOT;579250;T7
2015;38;0;POBTOT;727780;T7
2015;42;0;POBTOT;343056;T7
2015;46;0;POBTOT;367728;T7
2015;50;0;POBTOT;1885551;T7
2015;54;0;POBTOT;1189446;T7
2015;58;0;POBTOT;619745;T7
2015;62;0;POBTOT;698874;T7
2015;66;0;POBTOT;1333365;T7
2015;70;0;POBTOT;738959;T7
2015;74;0;POBTOT;476351;T7
2015;78;0;POBTOT;320469;T7
2015;82;0;POBTOT;3397532;T7
2015;86;0;POBTOT;928097;T7
2015;90;0;POBTOT;1592878;T7
2015;94;0;POBTOT;152317;T7
2015;0;1;POBTOT;21131346;T7
2015;2;1;POBTOT;1426582;T7
2015;6;1;POBTOT;8158456;T7
2015;10;1;POBTOT;198490;T7
2015;14;1;POBTOT;1741325;T7
2015;18;1;POBTOT;527731;T7
2015;22;1;POBTOT;564746;T7
2015;26;1;POBTOT;283708;T7
2015;30;1;POBTOT;648236;T7
2015;34;1;POBTOT;288571;T7
2015;38;1;POBTOT;359175;T7
2015;42;1;POBTOT;170298;T7
2015;46;1;POBTOT;183105;T7
2015;50;1;POBTOT;925809;T7
2015;54;1;POBTOT;594241;T7
2015;58;1;POBTOT;308370;T7
2015;62;1;POBTOT;348253;T7
2015;66;1;POBTOT;659702;T7
2015;70;1;POBTOT;365362;T7
2015;74;1;POBTOT;236166;T7
2015;78;1;POBTOT;164703;T7
2015;82;1;POBTOT;1652581;T7
2015;86;1;POBTOT;462244;T7
2015;90;1;POBTOT;785767;T7
2015;94;1;POBTOT;77725;T7
2015;0;2;POBTOT;22000620;T7
2015;2;2;POBTOT;1627685;T7
2015;6;2;POBTOT;8501475;T7
2015;10;2;POBTOT;198405;T7
2015;14;2;POBTOT;1826329;T7
2015;18;2;POBTOT;542552;T7
2015;22;2;POBTOT;578455;T7
2015;26;2;POBTOT;283214;T7
2015;30;2;POBTOT;673179;T7
2015;34;2;POBTOT;290679;T7
2015;38;2;POBTOT;368605;T7
2015;42;2;POBTOT;172758;T7
2015;46;2;POBTOT;184623;T7
2015;50;2;POBTOT;959742;T7
2015;54;2;POBTOT;595205;T7
2015;58;2;POBTOT;311375;T7
2015;62;2;POBTOT;350621;T7
2015;66;2;POBTOT;673663;T7
2015;70;2;POBTOT;373597;T7
2015;74;2;POBTOT;240185;T7
2015;78;2;POBTOT;155766;T7
2015;82;2;POBTOT;1744951;T7
2015;86;2;POBTOT;465853;T7
2015;90;2;POBTOT;807111;T7
2015;94;2;POBTOT;74592;T7
2016;0;0;POBTOT;43590368;T7
2016;2;0;POBTOT;3059122;T7
2016;6;0;POBTOT;16841135;T7
2016;10;0;POBTOT;400678;T7
2016;14;0;POBTOT;3606540;T7
2016;18;0;POBTOT;1080655;T7
2016;22;0;POBTOT;1155723;T7
2016;26;0;POBTOT;577466;T7
2016;30;0;POBTOT;1334489;T7
2016;34;0;POBTOT;584614;T7
2016;38;0;POBTOT;736542;T7
2016;42;0;POBTOT;346191;T7
2016;46;0;POBTOT;372879;T7
2016;50;0;POBTOT;1907045;T7
2016;54;0;POBTOT;1204182;T7
2016;58;0;POBTOT;628897;T7
2016;62;0;POBTOT;708799;T7
2016;66;0;POBTOT;1351878;T7
2016;70;0;POBTOT;747488;T7
2016;74;0;POBTOT;482796;T7
2016;78;0;POBTOT;329499;T7
2016;82;0;POBTOT;3425656;T7
2016;86;0;POBTOT;938109;T7
2016;90;0;POBTOT;1613476;T7
2016;94;0;POBTOT;156509;T7
2016;0;1;POBTOT;21364470;T7
2016;2;1;POBTOT;1430531;T7
2016;6;1;POBTOT;8250777;T7
2016;10;1;POBTOT;200420;T7
2016;14;1;POBTOT;1761138;T7
2016;18;1;POBTOT;532925;T7
2016;22;1;POBTOT;570793;T7
2016;26;1;POBTOT;289068;T7
2016;30;1;POBTOT;654832;T7
2016;34;1;POBTOT;291187;T7
2016;38;1;POBTOT;363581;T7
2016;42;1;POBTOT;171831;T7
2016;46;1;POBTOT;185662;T7
2016;50;1;POBTOT;936753;T7
2016;54;1;POBTOT;601518;T7
2016;58;1;POBTOT;312859;T7
2016;62;1;POBTOT;353253;T7
2016;66;1;POBTOT;668863;T7
2016;70;1;POBTOT;369794;T7
2016;74;1;POBTOT;239393;T7
2016;78;1;POBTOT;169327;T7
2016;82;1;POBTOT;1666849;T7
2016;86;1;POBTOT;467154;T7
2016;90;1;POBTOT;796112;T7
2016;94;1;POBTOT;79850;T7
2016;0;2;POBTOT;22225898;T7
2016;2;2;POBTOT;1628591;T7
2016;6;2;POBTOT;8590358;T7
2016;10;2;POBTOT;200258;T7
2016;14;2;POBTOT;1845402;T7
2016;18;2;POBTOT;547730;T7
2016;22;2;POBTOT;584930;T7
2016;26;2;POBTOT;288398;T7
2016;30;2;POBTOT;679657;T7
2016;34;2;POBTOT;293427;T7
2016;38;2;POBTOT;372961;T7
2016;42;2;POBTOT;174360;T7
